[exp256] psnr : 39.74609471425975, min: 37.98281544762021, max: 41.83896292526982 
[exp256] psnr : 40.083336841202026, min: 38.16370744584166, max: 41.94503080786299 
[exp256] psnr : 40.074343849479, min: 38.16576785252069, max: 41.947393196779714 
[exp256] psnr : 40.05025258394167, min: 38.16406802992568, max: 41.93255819291114 
[exp256] psnr : 39.72555762624764, min: 38.05779360503553, max: 41.81322133633357 
[exp259] psnr : 35.694219601265196, min: 35.28511805552612, max: 36.04197343471053 
[exp259] psnr : 36.49923119880462, min: 35.93035791034961, max: 37.188728455622446 
[exp259] psnr : 38.448190380161755, min: 37.511201732455845, max: 39.50253478158282 
[exp259] psnr : 36.836914087598274, min: 35.943412472374064, max: 37.68288757122996 
[exp259] psnr : 36.54011762867071, min: 35.90308716121134, max: 37.40358675041326 
[exp259] psnr : 36.49994785068244, min: 35.88308840804743, max: 37.115751960716224 
[exp259] psnr : 35.69663419439337, min: 35.35728117746217, max: 35.992017650432345 
[exp259] psnr : 36.50649687657879, min: 35.901657391438675, max: 37.11841144453978 
[exp259] psnr : 36.51234934572975, min: 35.96259871702332, max: 37.12519915078616 
[exp259] psnr : 36.499947216361136, min: 35.88308610422215, max: 37.115751960716224 
[exp259] psnr : 36.499949455693795, min: 35.88308610422215, max: 37.115751960716224 
[exp259] psnr : 36.499943509184384, min: 35.88308610422215, max: 37.11572922963065 
[exp259] psnr : 36.49994616736729, min: 35.88308610422215, max: 37.115751960716224 
[exp259] psnr : 35.62189848605856, min: 35.28488347273258, max: 36.05020990230708 
[exp259] psnr : 36.49994672666448, min: 35.88308840804743, max: 37.11572704395562 
[exp259] psnr : 39.686403558689484, min: 38.23825358007446, max: 41.82173152699831 
[exp259] psnr : 39.39546941907323, min: 38.11902773582152, max: 41.42083359615555 
[exp259] psnr : 39.462988759171274, min: 38.26775395514105, max: 41.612340115772525 
[exp259] psnr : 39.57323195367908, min: 38.12387969885323, max: 41.38343036263343 
[exp259] psnr : 39.47646327991514, min: 38.140524409849135, max: 41.40069504279449 
[exp259] psnr : 39.51437239939355, min: 38.08928528670996, max: 41.4074386242953 
[exp259] psnr : 37.40152097962891, min: 36.379730448290935, max: 38.48626426153508 
[exp259] psnr : 37.401519001392565, min: 36.379678051879566, max: 38.48629842372979 
[exp259] psnr : 39.51437298554699, min: 38.08928747462978, max: 41.4074257067892 
[exp259] psnr : 39.51437522005273, min: 38.08928747462978, max: 41.407487946035666 
[exp259] psnr : 39.471284435310785, min: 38.13714622745163, max: 41.24865543003858 
[exp259] psnr : 39.495037869572904, min: 38.14089026988036, max: 41.28088394436603 
[exp259] psnr : 39.49505275159792, min: 38.140895251545814, max: 41.280886225555086 
